Name,TDS,Turbidity,pH,label
Bottled Water (Kinley),65.5,0.7,8.2,safe
Bottled Water (Kinley),60.3,1.3,7.3,safe
Bottled Water (Kinley),68.4,1.8,7.2,safe
Bottled Water (Kinley),57.3,1.2,7.4,safe
Bottled Water (Kinley),55.2,1.5,7.3,safe
Bottled Water (Kinley),56.3,1.9,7.2,safe
Bottled Water (Kinley),53.6,1.1,7.4,safe
Bottled Water (Kinley),64.1,1.6,7.3,safe
Bottled Water (Kinley),65.4,1.4,7.2,safe
Bottled Water (Kinley),51.7,1.8,7.3,safe
Bottled Water (Aquafina),25.4,0.8,6.8,safe
Bottled Water (Aquafina),28.1,0.6,6.7,safe
Bottled Water (Aquafina),22.8,0.9,6.8,safe
Bottled Water (Aquafina),31.3,0.7,6.6,safe
Bottled Water (Aquafina),24.5,0.5,6.9,safe
Bottled Water (Aquafina),27.2,0.8,6.7,safe
Bottled Water (Aquafina),20.9,0.6,6.8,safe
Bottled Water (Aquafina),29.7,0.9,6.6,safe
Bottled Water (Aquafina),26.3,0.7,6.7,safe
Bottled Water (Aquafina),23.6,0.8,6.8,safe
RO Filter Water,48.2,2.5,6.5,safe
RO Filter Water,54.7,2.1,6.3,safe
RO Filter Water,45.1,0.8,6.6,safe
RO Filter Water,58.9,2.3,6.4,safe
RO Filter Water,51.5,2.6,6.5,safe
RO Filter Water,43.7,2.9,6.3,safe
RO Filter Water,56.3,2.2,6.6,safe
RO Filter Water,49.8,2.7,6.4,safe
RO Filter Water,41.9,0,6.5,safe
RO Filter Water,53.4,2.4,6.3,safe
Bottled Water (Himalayan),194,0.6,7.6,safe
Bottled Water (Himalayan),192.2,0.8,7.7,safe
Bottled Water (Himalayan),176.3,0.5,7.5,safe
Bottled Water (Himalayan),170.1,0.9,7.6,safe
Bottled Water (Himalayan),196.7,0.7,7.7,safe
Bottled Water (Himalayan),196.9,0.6,7.5,safe
Bottled Water (Himalayan),186.3,0.8,7.6,safe
Bottled Water (Himalayan),184.6,0.5,7.7,safe
Bottled Water (Himalayan),193.2,0.9,8.2,safe
Bottled Water (Himalayan),180.5,0.7,8.1,safe
Bottled Water (Bisleri),150.2,1.1,7.1,safe
Bottled Water (Bisleri),145.8,1.3,7,safe
Bottled Water (Bisleri),155.6,1,7.2,safe
Bottled Water (Bisleri),142.1,1.4,7.1,safe
Bottled Water (Bisleri),158.9,1.2,7,safe
Bottled Water (Bisleri),148.3,1.5,7.2,safe
Bottled Water (Bisleri),152.7,1.1,7.1,safe
Bottled Water (Bisleri),140.5,1.3,7,safe
Bottled Water (Bisleri),156.4,1,7.2,safe
Bottled Water (Bisleri),144,0.4,7.1,safe
RO Filter Water,38.5,0.8,6.2,safe
RO Filter Water,44.2,2.5,5.4,safe
RO Filter Water,36.9,0.1,6.1,safe
RO Filter Water,47.8,0.3,6.3,safe
RO Filter Water,40.1,0.9,5.5,safe
RO Filter Water,35.7,0.2,5.6,safe
RO Filter Water,49.3,2.1,6.4,safe
RO Filter Water,42.6,2.7,6.1,safe
RO Filter Water,33.9,0,6.2,safe
RO Filter Water,46,0.4,6.3,safe
Bottled Water (Rail Neer),115.1,0.4,7.2,safe
Bottled Water (Rail Neer),110.8,0.3,7.3,safe
Bottled Water (Rail Neer),121.4,0.5,7.1,safe
Bottled Water (Rail Neer),105.6,0.2,7.2,safe
Bottled Water (Rail Neer),112.3,0.4,7.3,safe
Bottled Water (Rail Neer),106.1,0.6,7.1,safe
Bottled Water (Rail Neer),100.2,0.3,7.2,safe
Bottled Water (Rail Neer),102.9,0.5,7.3,safe
Bottled Water (Rail Neer),106.7,0.4,7.1,safe
Bottled Water (Rail Neer),108.4,0.2,7.2,safe
Distilled Water,5.2,0.1,5.8,safe
Distilled Water,8.1,0.2,5.9,safe
Distilled Water,3.9,0.1,5.7,safe
Distilled Water,10,0,6,safe
Distilled Water,6.5,0,5.8,safe
Distilled Water,2.8,0,5.9,safe
Distilled Water,9.3,0,5.7,safe
Distilled Water,4.7,0.2,6,safe
Distilled Water,7.6,0.1,5.8,safe
Distilled Water,1.5,0.2,5.9,safe
Deionized Water,0.5,0.1,5.5,safe
Deionized Water,1.2,0.2,5.6,safe
Deionized Water,0.8,0.1,5.4,safe
Deionized Water,1,0,5.7,safe
Deionized Water,0.3,0,5.5,safe
Deionized Water,1.4,0.2,5.6,safe
Deionized Water,0.6,0.1,5.4,safe
Deionized Water,1.1,0,5.7,safe
Deionized Water,0.4,0.1,5.5,safe
Deionized Water,1.3,0.2,5.6,safe
